prompt_id,prompt,stratum,verified_correct_count,verified_wrong_count,unaudited_count,top_1_id,top_1_label,top_1_sim,top_2_id,top_2_label,top_2_sim,top_3_id,top_3_label,top_3_sim,top_4_id,top_4_label,top_4_sim,top_5_id,top_5_label,top_5_sim
20,Tell me about need-based financial aid options in Germany,C,5,0,0,83eed417c7372867,verified_correct,1.0000,83eed417c7372867,verified_correct,1.0000,83eed417c7372867,verified_correct,1.0000,83eed417c7372867,verified_correct,1.0000,83eed417c7372867,verified_correct,1.0000
21,What language support services do universities offer?,C,5,0,0,532ae98bdaaa05cc,verified_correct,1.0000,532ae98bdaaa05cc,verified_correct,1.0000,532ae98bdaaa05cc,verified_correct,1.0000,532ae98bdaaa05cc,verified_correct,1.0000,532ae98bdaaa05cc,verified_correct,1.0000
22,What scholarships are available for Chinese students in UK?,excluded,0,0,5,827fc682dc811d4f,unaudited,1.0000,827fc682dc811d4f,unaudited,1.0000,827fc682dc811d4f,unaudited,1.0000,827fc682dc811d4f,unaudited,1.0000,827fc682dc811d4f,unaudited,1.0000
23,How can I improve my German before studying in Canada?,excluded,0,0,5,1a6c9bd034a9bd0c,unaudited,1.0000,1a6c9bd034a9bd0c,unaudited,1.0000,1a6c9bd034a9bd0c,unaudited,1.0000,201c238b7860d7dc,unaudited,0.8149,201c238b7860d7dc,unaudited,0.8149
24,Bicycle-friendly campuses and cities for students?,C,5,0,0,668881657ae47df2,verified_correct,1.0000,668881657ae47df2,verified_correct,1.0000,668881657ae47df2,verified_correct,1.0000,668881657ae47df2,verified_correct,1.0000,668881657ae47df2,verified_correct,1.0000
25,How much should I budget monthly for Boston?,excluded,0,0,5,244a7b75359750fa,unaudited,1.0000,244a7b75359750fa,unaudited,1.0000,244a7b75359750fa,unaudited,1.0000,244a7b75359750fa,unaudited,1.0000,244a7b75359750fa,unaudited,1.0000
26,What student clubs and organizations are popular at Stanford?,excluded,0,0,5,a838e773d75425d6,unaudited,1.0000,a838e773d75425d6,unaudited,1.0000,a838e773d75425d6,unaudited,1.0000,a838e773d75425d6,unaudited,1.0000,a838e773d75425d6,unaudited,1.0000
27,What research opportunities are available for Masters students?,excluded,0,0,5,923cf5bf5216cbe9,unaudited,1.0000,923cf5bf5216cbe9,unaudited,1.0000,923cf5bf5216cbe9,unaudited,1.0000,923cf5bf5216cbe9,unaudited,1.0000,923cf5bf5216cbe9,unaudited,1.0000
28,Research funding options for international students?,C,5,0,0,8e7ae2bc2ba11370,verified_correct,1.0000,8e7ae2bc2ba11370,verified_correct,1.0000,8e7ae2bc2ba11370,verified_correct,1.0000,8e7ae2bc2ba11370,verified_correct,1.0000,8e7ae2bc2ba11370,verified_correct,1.0000
29,How can I get a full scholarship for studying Medicine in Australia?,excluded,0,0,5,2ffc1ea9a2488ff5,unaudited,1.0000,ef6ac5e45f583c72,unaudited,0.8673,ef6ac5e45f583c72,unaudited,0.8673,ef6ac5e45f583c72,unaudited,0.8673,ef6ac5e45f583c72,unaudited,0.8673
30,How can I adjust to student life in UK?,excluded,0,0,5,e46d4607af5e4432,unaudited,1.0000,e46d4607af5e4432,unaudited,1.0000,e46d4607af5e4432,unaudited,1.0000,e46d4607af5e4432,unaudited,1.0000,e46d4607af5e4432,unaudited,1.0000
31,Research funding options for international students?,C,5,0,0,8e7ae2bc2ba11370,verified_correct,1.0000,8e7ae2bc2ba11370,verified_correct,1.0000,8e7ae2bc2ba11370,verified_correct,1.0000,8e7ae2bc2ba11370,verified_correct,1.0000,8e7ae2bc2ba11370,verified_correct,1.0000
32,What are typical student expenses in Canada?,excluded,0,0,5,567a287cec709cab,unaudited,1.0000,567a287cec709cab,unaudited,1.0000,567a287cec709cab,unaudited,1.0000,567a287cec709cab,unaudited,1.0000,567a287cec709cab,unaudited,1.0000
33,Do I need to take additional language courses in USA?,excluded,0,0,5,29bf2494b83cc64a,unaudited,1.0000,29bf2494b83cc64a,unaudited,1.0000,29bf2494b83cc64a,unaudited,1.0000,29bf2494b83cc64a,unaudited,1.0000,29bf2494b83cc64a,unaudited,1.0000
34,What scholarships are available for Brazilian students in Bangladesh?,excluded,0,0,5,97bf5f62475cf310,unaudited,1.0000,97bf5f62475cf310,unaudited,1.0000,4977e39578912b22,unaudited,0.8869,bdade9a9813d9097,unaudited,0.8701,fd05db874de5ba10,unaudited,0.8673
35,How to find research assistantships in Social Sciences?,excluded,0,0,5,6cb1fccfc17a40de,unaudited,1.0000,6cb1fccfc17a40de,unaudited,1.0000,6cb1fccfc17a40de,unaudited,1.0000,6cb1fccfc17a40de,unaudited,1.0000,6cb1fccfc17a40de,unaudited,1.0000
36,What documents do I need for applying to MBA?,excluded,0,0,5,a1fd853633d9e6c4,unaudited,1.0000,a1fd853633d9e6c4,unaudited,1.0000,a1fd853633d9e6c4,unaudited,1.0000,a1fd853633d9e6c4,unaudited,1.0000,a1fd853633d9e6c4,unaudited,1.0000
37,Do I need to submit my IGCSE for admission to Bachelor of Medicine at Stanford?,excluded,0,0,5,c6b718d496665553,unaudited,1.0000,c6b718d496665553,unaudited,1.0000,09242cbbdda70674,unaudited,0.7897,9c852c26216e1667,unaudited,0.7320,3313b73d5adec118,unaudited,0.7316
38,Do I need to take additional language courses in USA?,excluded,0,0,5,29bf2494b83cc64a,unaudited,1.0000,29bf2494b83cc64a,unaudited,1.0000,29bf2494b83cc64a,unaudited,1.0000,29bf2494b83cc64a,unaudited,1.0000,29bf2494b83cc64a,unaudited,1.0000
39,What documents do I need for applying to MBBS?,excluded,0,0,5,373c2e6c9e646473,unaudited,1.0000,373c2e6c9e646473,unaudited,1.0000,373c2e6c9e646473,unaudited,1.0000,373c2e6c9e646473,unaudited,1.0000,373c2e6c9e646473,unaudited,1.0000
40,Which universities in UK are best for Computer Science?,excluded,0,0,5,129c88b6ce4a4b4d,unaudited,1.0000,129c88b6ce4a4b4d,unaudited,1.0000,129c88b6ce4a4b4d,unaudited,1.0000,99654566f22673f9,unaudited,0.8428,c70988acceb90349,unaudited,0.8019
41,Tips for academic writing in English?,excluded,0,0,5,f5df1d537598b5b5,unaudited,1.0000,f5df1d537598b5b5,unaudited,1.0000,f5df1d537598b5b5,unaudited,1.0000,f5df1d537598b5b5,unaudited,1.0000,f5df1d537598b5b5,unaudited,1.0000
42,How can I adjust to student life in Canada?,excluded,0,0,5,38e282d95132dd1e,unaudited,1.0000,38e282d95132dd1e,unaudited,1.0000,38e282d95132dd1e,unaudited,1.0000,38e282d95132dd1e,unaudited,1.0000,38e282d95132dd1e,unaudited,1.0000
43,Which language courses are recommended for Nepali students?,excluded,0,0,5,c54b4f705502c40b,unaudited,1.0000,c54b4f705502c40b,unaudited,1.0000,c54b4f705502c40b,unaudited,1.0000,c54b4f705502c40b,unaudited,1.0000,c54b4f705502c40b,unaudited,1.0000
44,How can I get a full scholarship for studying Masters in USA?,excluded,0,0,5,103c57032dc41eed,unaudited,1.0000,103c57032dc41eed,unaudited,1.0000,103c57032dc41eed,unaudited,1.0000,103c57032dc41eed,unaudited,1.0000,103c57032dc41eed,unaudited,1.0000
45,How can I get a full scholarship for studying Engineering in EU?,excluded,0,0,5,11f0fbb2111d7e0d,unaudited,1.0000,c4d3dcad78cd73b4,unaudited,0.8178,5e848537bf88968f,unaudited,0.7916,2c56698f3abf591f,unaudited,0.7434,2c56698f3abf591f,unaudited,0.7434
46,How to make friends and network as an international student?,C,5,0,0,916b217b075383e4,verified_correct,1.0000,916b217b075383e4,verified_correct,1.0000,916b217b075383e4,verified_correct,1.0000,916b217b075383e4,verified_correct,1.0000,916b217b075383e4,verified_correct,1.0000
47,What is the student visa process for Uzbekistan?,excluded,0,0,5,bf0dda4ec8810d1c,unaudited,1.0000,bf0dda4ec8810d1c,unaudited,1.0000,bf0dda4ec8810d1c,unaudited,1.0000,bf0dda4ec8810d1c,unaudited,1.0000,430e557640e1437a,unaudited,0.8293
48,What are the job prospects after MBA in USA?,excluded,0,0,5,b40f417684d8ee81,unaudited,1.0000,6926fcf39535ae2a,unaudited,0.8063,944ec1715a8b9484,unaudited,0.7967,7e135843f686f6c2,unaudited,0.7848,7e135843f686f6c2,unaudited,0.7848
49,Sports and fitness facilities for students at MIT?,excluded,0,0,5,6d27115be3129978,unaudited,1.0000,6d27115be3129978,unaudited,1.0000,6d27115be3129978,unaudited,1.0000,6d27115be3129978,unaudited,1.0000,6d27115be3129978,unaudited,1.0000
50,How to find research assistantships in Social Sciences?,excluded,0,0,5,6cb1fccfc17a40de,unaudited,1.0000,6cb1fccfc17a40de,unaudited,1.0000,6cb1fccfc17a40de,unaudited,1.0000,6cb1fccfc17a40de,unaudited,1.0000,6cb1fccfc17a40de,unaudited,1.0000
